Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards
1926,66,Lodger (Story of the London Fog),Mystery,"Chesney	 Arthur","Ault	 Marie","Hitchcock	 Alfred",76,No
1988,103,Appointment with Death,Mystery,"Ustinov	 Peter","Bacall	 Lauren","Donaggio	 Michael Winner",75,No
1974,128,Murder on the Orient Express,Mystery,"Balsam	 Martin","Bacall	 Lauren","Lumet	 Sidney",8,Yes
1955,115,Blood Alley,War,"Wayne	 John","Bacall	 Lauren","Wellman	 William",15,No
1977,136,"Spy Who Loved Me	 The",Action,"Moore	 Roger","Bach	 Barbara","Gilbert	 Lewis",27,No
1988,100,Storm,Action,"Palfy	 David","Bahtia	 Stacy Christensen","Winning	 David",61,No
1989,103,Miami Cops,Action,"Roundtree	 Richard","Baker	 Dawn","Bradley	 Al",40,No
1996,96,"Island of Dr. Moreau	 The",Horror,"Thewlis	 David","Balk	 Fairuza","Frankenheimer	 John",39,No
1992,100,Eighty-Four Charing Cross Road,Drama,"Hopkins	 Anthony","Bancroft	 Anne","Jones	 David",9,No
1980,124,"Elephant Man	 The",Drama,"Hopkins	 Anthony","Bancroft	 Anne","Lynch	 David",3,Yes
1988,90,Dr Alien,Science Fiction,"Jacoby	 Billy","Barash	 Olivia","DeCoteau	 David",70,No
1982,120,Creepshow,Horror,"Holbrook	 Hal","Barbeau	 Adrienne","Romero	 George A.",70,No
1987,100,Sammy & Rosie Get Laid,Drama,"Din	 Ayub Khan","Barber	 Frances","Frears	 Stephen",6,No
1971,101,"Goalie's Anxiety at the Penalty Kick	 The",Drama,"Brauss	 Arthur","Bardischewski	 Maria","Wenders	 Wim",62,No
1957,99,Mademoiselle Striptease,Comedy,"Gelin	 Daniel","Bardot	 Brigitte","Allegret	 Marc",25,No
1969,86,"Women	 The",Drama,"Ronet	 Maurice","Bardot	 Brigitte","Aurel	 Jean",66,No
1958,77,That Naughty Girl,Comedy,"Bretonniere	 Jean","Bardot	 Brigitte","Boisrond	 Michel",37,No
1959,90,Voulez-Vous Danser Avec Moi?,Comedy,"Vidal	 Henri","Bardot	 Brigitte","Boisrond	 Michel",16,No
1967,100,"A Coeur Joie	 (Head Over Heels)",Action,"Terzieff	 Laurent","Bardot	 Brigitte","Bourguignon	 Serge",54,No
1968,113,Shalako,Westerns,"Connery	 Sean","Bardot	 Brigitte","Dmytryk	 Edward",0,No
1964,102,Contempt,Drama,"Palance	 Jack","Bardot	 Brigitte","Godard	 Jean-Luc",81,No
1965,100,Dear Brigitte,Comedy,"Mumy	 Billy","Bardot	 Brigitte","Koster	 Henry",71,No
1962,134,A Very Private Affair,Drama,"Mastroianni	 Marcello","Bardot	 Brigitte","Malle	 Louis",30,No
1964,99,"Ravishing Idiot	 The",Comedy,"Perkins	 Anthony","Bardot	 Brigitte","Molinaro	 Edouard",34,No
1958,90,"Bride Is Much Too Beautiful	 The",Comedy,"Jourdan	 Louis","Bardot	 Brigitte","Surin	 Fred",70,No
1955,90,Doctor at Sea,Comedy,"Bogarde	 Dirk","Bardot	 Brigitte","Thomas	 Ralph",83,No
1962,100,"Le Repos Du Guerrier	 (Warrior's Rest)",War,"Hossein	 Robert","Bardot	 Brigitte","Vadim	 Roger",8,No
1957,90,And God Created Woman,Drama,"Jurgens	 Curt","Bardot	 Brigitte","Vadim	 Roger",29,No
1973,87,Ms. Don Juan,Drama,"Ronet	 Maurice","Bardot	 Brigitte","Vadim	 Roger",39,No
1987,97,Siesta,Drama,"Byrne	 Gabriel","Barkin	 Ellen","Lambert	 Mary",48,No
1932,92,Rich & Strange,Drama,"Kendall	 Henry","Barry	 Joan","Hitchcock	 Alfred",57,No
1987,104,Lionheart,Action,"Stoltz	 Eric","Barrymore	 Deborah","Schaffner	 Franklin J.",9,No
1982,115,E. T. The Extra-Terrestrial,Science Fiction,"Wallace	 Dee","Barrymore	 Drew","Spielberg	 Steven",8,Yes
1992,101,Cool World,Drama,"Byrne	 Gabriel","Basinger	 Kim","Bakshi	 Ralph",44,No
1988,83,Nadine,Comedy,"Bridges	 Jeff","Basinger	 Kim","Benton	 Robert",47,No
1989,126,Batman,Action,"Nicholson	 Jack","Basinger	 Kim","Burton	 Tim",14,No
1987,95,Blind Date,Comedy,"Willis	 Bruce","Basinger	 Kim","Edwards	 Blake",7,No
1982,101,Mother Lode,Action,"Heston	 Charlton","Basinger	 Kim","Heston	 Charlton",40,No
1992,125,Final Analysis,Drama,"Gere	 Richard","Basinger	 Kim","Joanou	 Phil",50,No
1983,134,Never Say Never Again,Action,"Connery	 Sean","Basinger	 Kim","Kershner	 Irvin",8,No
1986,117,Nine & a Half Weeks,Drama,"Rourke	 Mickey","Basinger	 Kim","Lyne	 Adrian",7,No
1986,108,No Mercy,Drama,"Gere	 Richard","Basinger	 Kim","Pearce	 Richard",11,No
1991,116,"Marrying Man	 The",Comedy,"Baldwin	 Alec","Basinger	 Kim","Rees	 Jerry",84,No
1990,123,Misery,Horror,"Caan	 James","Bates	 Kathy","Reiner	 Rob",48,Yes
1946,93,Crisis,Drama,"Andersson	 Wiktor","Baude	 Anna-Lisa","Bergman	 Ingmar",66,No
1984,95,Samson & Delilah,Drama,"Hamilton	 Antony","Bauer	 Belinda","Philips	 Lee",36,No
1988,96,Split Decisions,Drama,"Hackman	 Gene","Beals	 Jennifer","Drury	 David",52,No
1988,96,Nightmare at Noon,Action,"Hauser	 Wings","Beck	 Kimberly","Mastorakis	 Nico",0,No
1990,127,Presumed Innocent,Mystery,"Ford	 Harrison","Bedelia	 Bonnie","Pakula	 Alan J.",69,No
1942,123,Reap the Wild Wind,Drama,"Wayne	 John","Beecher	 Janet","DeMille	 Cecil B.",59,No
1972,100,Pocket Money,Comedy,"Newman	 Paul","Belford	 Christine","Rosenberg	 Stuart",55,No
1977,102,Mary White,Drama,"Flanders	 Ed","Beller	 Kathleen","Taylor	 Jud",2,No
1990,105,Guilty by Suspicion,Drama,"De Niro	 Robert","Bening	 Annette","Winkler	 Irwin",88,No
1948,99,Secret Beyond the Door,Mystery,"Redgrave	 Michael","Bennett	 Joan","Lang	 Fritz",31,No
1945,103,Scarlet Street,Drama,"Robinson	 Edward G.","Bennett	 Joan","Lang	 Fritz",80,No
1988,76,Daffy Duck's Quackbusters,Action,"Blanc	 Mel","Bennett	 Julie","Ford	 Greg",68,No
1982,188,Gandhi,Drama,"Kingsley	 Ben","Bergen	 Candice","Attenborough	 Richard",7,Yes
1975,120,"Wind & the Lion	 The",Action,"Connery	 Sean","Bergen	 Candice","Milius	 John",2,No
1971,96,Carnal Knowledge,Drama,"Nicholson	 Jack","Bergen	 Candice","Nichols	 Mike",10,No
1970,126,Getting Straight,Comedy,"Gould	 Elliott","Bergen	 Candice","Rush	 Richard",83,No
1972,90,"Scarlet Letter	 The",Drama,"Albaicín	 Rafael","Berger	 Senta","Wenders	 Wim",55,No
1935,75,"Count of Old Town	 The",Comedy,"Adolphson	 Edvin","Bergman	 Ingrid","Adolphson	 Edvin",72,No
1978,97,Autumn Sonata,Drama,"Björk	 Halvar","Bergman	 Ingrid","Bergman	 Ingmar",49,Yes
1944,114,Gaslight,Drama,"Boyer	 Charles","Bergman	 Ingrid","Cukor	 George",25,Yes
1958,100,Indiscreet,Drama,"Grant	 Cary","Bergman	 Ingrid","Donen	 Stanley",1,No
1941,75,Walpurgis Night,Drama,"Sjöström	 Victor","Bergman	 Ingrid","Edgren	 Gustaf",32,No
1948,100,Joan of Arc,Drama,"Ferrer	 Jose","Bergman	 Ingrid","Fleming	 Victor",7,No
1982,195,A Woman Called Golda,Drama,"Beatty	 Ned","Bergman	 Ingrid","Gibson	 Alan",15,Yes
1969,98,A Walk in the Spring Rain,Drama,"Quinn	 Anthony","Bergman	 Ingrid","Green	 Guy",2,No
1949,117,Under Capricorn,Drama,"Cotten	 Joseph","Bergman	 Ingrid","Hitchcock	 Alfred",74,No
1946,101,Notorious,Mystery,"Grant	 Cary","Bergman	 Ingrid","Hitchcock	 Alfred",42,No
1940,90,June Night,Drama,"Widgren	 Olof","Bergman	 Ingrid","Lindberg	 Per",14,No
1961,120,Goodbye Again,Drama,"Perkins	 Anthony","Bergman	 Ingrid","Litvak	 Anatole",6,No
1956,106,Anastasia,Drama,"Tamiroff	 Akim","Bergman	 Ingrid","Litvak	 Anatole",24,Yes
1945,126,"Bells of St. Mary's	 The",Drama,"Crosby	 Bing","Bergman	 Ingrid","McCarey	 Leo",31,No
1937,91,Intermezzo,Drama,"Ekman	 Gösta","Bergman	 Ingrid","Molander	 Gustaf",32,No
1938,104,A Woman's Face,Drama,"Svennberg	 Tore","Bergman	 Ingrid","Molander	 Gustaf",49,No
1935,90,Swedenhielms,Drama,"Westergren	 Håkan","Bergman	 Ingrid","Molander	 Gustaf",88,No
1939,87,Only One Night,Drama,"Adolphson	 Edvin","Bergman	 Ingrid","Molander	 Gustav",26,No
1938,74,Dollar,Drama,"Rydeberg	 Georg","Bergman	 Ingrid","Molander	 Gustav",19,No
1956,98,Elena & Her Men,Drama,"Ferrer	 Mel","Bergman	 Ingrid","Renoir	 Jean",33,No
1952,110,Europa Fifty-One,Drama,"Knox	 Alexander","Bergman	 Ingrid","Rossellini	 Roberto",34,No
1953,83,Voyage in Italy,Drama,"Sanders	 George","Bergman	 Ingrid","Rossellini	 Roberto",57,No
1954,81,Fear,Drama,"Wieman	 Mathias","Bergman	 Ingrid","Rossellini	 Roberto",69,No
1950,107,Stromboli,Drama,"Vitale	 Mario","Bergman	 Ingrid","Rossellini	 Roberto",69,No
1969,103,Cactus Flower,Comedy,"Matthau	 Walter","Bergman	 Ingrid","Saks	 Gene",67,Yes
1987,91,Programmed to Kill,Action,"Ginty	 Robert","Bergman	 Sandahl","Holzman	 Allan",71,No
1982,128,Conan the Barbarian,Action,"Schwarzenegger	 Arnold","Bergman	 Sandahl","Milius	 John",45,No
1991,91,Raw Nerve,Mystery,"Ford	 Glenn","Bergman	 Sandahl","Prior	 David A.",88,No
1970,94,Think Dirty,Comedy,"Feldman	 Marty","Berman	 Shelley","Clark	 Jim",31,No
1982,108,King of Comedy,Drama,"De Niro	 Robert","Bernhard	 Sandra","Scorsese	 Martin",84,No
1984,158,Amadeus,Drama,"Abraham	 F. Murray","Berridge	 Elizabeth","Forman	 Milos",6,Yes
1973,101,White Lightning,Action,"Reynolds	 Burt","Billingsley	 Jennifer","Sargent	 Joseph",54,No
1988,172,"Unbearable Lightness of Being	 The",Drama,"Day-Lewis	 Daniel","Binoche	 Juliette","Kaufman	 Philip",5,Yes
1972,124,"Life & Times of Judge Roy Bean	 The",Western,"Newman	 Paul","Bisset	 Jacqueline","Huston	 John",65,No
1970,137,Airport,Drama,"Lancaster	 Burt","Bisset	 Jacqueline","Seaton	 George",0,Yes
1973,116,Day for Night,Drama,"Aumont	 Jean-Pierre","Bisset	 Jacqueline","Truffaut	 François",10,Yes
1952,107,Secrets of Women,Comedy,"Malmsten	 Birger","Björk	 Anita","Bergman	 Ingmar",66,No
1976,116,Burnt Offerings,Horror,"Reed	 Oliver","Black	 Karen","Curtis	 Dan",35,No
1969,94,Easy Rider,Drama,"Fonda	 Peter","Black	 Karen","Hopper	 Dennis",36,No
1991,98,Five Easy Pieces,Drama,"Nicholson	 Jack","Black	 Karen","Rafelson	 Bob",2,No
1974,144,"Day of the Locust	 The",Drama,"Sutherland	 Donald","Black	 Karen","Schlesinger	 John",81,No
1964,112,Goldfinger,Action,"Connery	 Sean","Blackman	 Honor","Hamilton	 Guy",77,No
1977,117,"Exorcist II	 The Heretic",Horror,"Burton	 Richard","Blair	 Linda","Boorman	 John",29,No
1942,88,Lady for a Night,Drama,"Wayne	 John","Blondell	 Joan","Leigh	 Jason",12,No
1968,103,Charly,Drama,"Robertson	 Cliff","Bloom	 Claire","Nelson	 Ralph",38,Yes
1973,105,High Plains Drifter,Western,"Eastwood	 Clint","Bloom	 Verna","Eastwood	 Clint",57,No
1982,123,Honkytonk Man,Drama,"Eastwood	 Clint","Bloom	 Verna","Eastwood	 Clint",69,No
1990,102,Nightbreed,Horror,"Cronenberg	 David","Bobby	 Anne","Barker	 Clive",72,No
1987,98,Under the Sun of Satan,Drama,"Depardieu	 Gérard","Bonnaire	 Sandrine","Pialat	 Maurice",45,No
1985,105,Vagabond,Drama,"Meril	 Macha","Bonnaire	 Sandrine","Varda	 Agnes",49,No
1974,89,Monty Python & the Holy Grail,Comedy,"Chapman	 Graham","Booth	 Connie","Gilliam	 Terry",83,No
1958,101,"Matchmaker	 The",Comedy,"Perkins	 Anthony","Booth	 Shirley","Anthony	 Joseph",67,No
1981,129,For Your Eyes Only,Action,"Moore	 Roger","Bouquet	 Carole","Glen	 John",86,No
1928,139,Wings,War,"Rogers	 Buddy","Bow	 Clara","Wellman	 William",44,Yes
1992,106,Medicine Man,Action,"Connery	 Sean","Bracco	 Lorraine","McTiernan	 John",6,No
1985,119,Kiss of the Spider Woman,Drama,"Hurt	 William","Braga	 Sonia","Babenco	 Hector",10,Yes
1990,121,"Rookie	 THe",Action,"Eastwood	 Clint","Braga	 Sonia","Eastwood	 Clint",48,No
1973,129,"Sting	 The",Drama,"Newman	 Paul","Brennan	 Eileen","Hill	 George Roy",83,Yes
1958,96,Torpedo Run,War,"Ford	 Glenn","Brewster	 Diane","Pevney	 Joseph",50,No
1986,101,Instant Justice,Drama,"Paré	 Michael","Bridges	 Lynda","Rumar	 Craig",45,No
1990,135,Cyrano de Bergerac,Drama,"Depardieu	 Gérard","Brochet	 Anne","Rappeneau	 Jean-Paul",76,No
1948,110,Border Street,Drama,"Fijewski	 Tadeusz","Broniewska	 Maria","Ford	 Aleksander",73,No
1987,91,Firehouse,Comedy,"Hopkins	 Barrett","Brown	 Violet","Ingvordsen	 J. Christian",66,No
1965,123,Morituri,Drama,"Brando	 Marlon","Brynner	 Yul","Wicki	 Bernhard",9,No
1980,104,From the Life of the Marionettes,Drama,"Atzorn	 Robert","Buchegger	 Christine","Bergman	 Ingmar",58,No
1988,120,Frantic,Mystery,"Ford	 Harrison","Buckley	 Betty","Polanski	 Roman",17,No
1978,114,Coma,Science Fiction,"Douglas	 Michael","Bujold	 Geneviève","Crichton	 Michael",64,No
1988,117,Dead Ringers,Drama,"Irons	 Jeremy","Bujold	 Geneviève","Cronenberg	 David",29,No
1988,90,Golden Ninja Invasion,Action,"West	 Leonard","Burd	 Stephanie","Lambert	 Bruce",13,No
1973,122,"Exorcist	 The",Horror,"Sydow	 Max von","Burstyn	 Ellen","Friedkin	 William",28,Yes
1982,94,"Eyes of the Amaryllis	 The",Drama,"Bolt	 Jonathan","Byrne	 Martha","King Keller	 Frederick",70,No
1952,109,What Price Glory?,War,"Cagney	 James","Calvet	 Corinne","Ford	 John",4,No
1954,40,Inauguration of the Pleasure Dome,Short,"De Brier	 Sampson","Cameron	 Marjorie","Anger	 Kenneth",62,No
1989,114,School Daze,Comedy,"Fishburne	 Larry","Campbell	 Tisha","Lee	 Spike",18,No
1990,102,"End of Innocence	 The",Drama,"Heard	 John","Cannon	 Dyan","Cannon	 Dyan",6,No
1971,98,"Anderson Tapes	 The",Mystery,"Connery	 Sean","Cannon	 Dyan","Lumet	 Sidney",1,No
1983,50,"Father Murphy	 A Horse from Heaven",Comedy,"Olsen	 Merlin","Cannon	 Katharine","Claxton	 William F.",28,No
1989,80,Skull,Drama,"Bideman	 Robert","Capone	 Nadia","Bergman	 Robert",19,No
1987,91,"Quick & The Dead	 The",Western,"Elliott	 Sam","Capshaw	 Kate","Day	 Robert",40,No
1984,94,Best Defense,Comedy,"Moore	 Dudley","Capshaw	 Kate","Huyck	 Willard",75,No
1984,99,Dreamscape,Science Fiction,"Quaid	 Dennis","Capshaw	 Kate","Ruben	 Joseph",63,No
1989,125,Black Rain,Action,"Douglas	 Michael","Capshaw	 Kate","Scott	 Ridley",73,No
1963,138,8 1/2,Drama,"Mastroianni	 Marcello","Cardinale	 Claudia","Fellini	 Federico",80,Yes
1935,64,One Frightened Night,Horror,"Ford	 Wallace","Carlisle	 Mary","Cabanne	 Christy",33,No
1988,103,"Year My Voice Broke	 The",Drama,"Taylor	 Noah","Carmen	 Loene","Duigan	 John",71,No
1966,175,Is Paris Burning?,War,"Belmondo	 Jean-Paul","Caron	 Leslie","Clément	 René",63,No
1974,313,QB VII,Drama,"Hopkins	 Anthony","Caron	 Leslie","Gries	 Tom",28,Yes
1977,104,"Island of Dr. Moreau	 The",Horror,"Lancaster	 Burt","Carrera	 Barbara","Taylor	 Don",54,No
1983,104,Beyond the Limit,Drama,"Caine	 Michael","Carrillo	 Elpidia","Mackenzie	 John",51,No
1936,84,Secret Agent,Mystery,"Lorre	 Peter","Carroll	 Madeleine","Hitchcock	 Alfred",50,No
1972,71,"Big Bust Out	 The",Action,"Kendall	 Tony","Carter	 Karen","Theumer	 Ernst R. von",50,No
1987,119,"Fourth Protocol	 The",Mystery,"Caine	 Michael","Cassidy	 Joanna","Mackenzie	 John",14,No
1990,107,Gremlins 2: The New Batch,Comedy,"Galligan	 Zach","Cates	 Phoebe","Dante	 Joe",61,No
1982,92,Fast Times at Ridgemont High,Comedy,"Penn	 Sean","Cates	 Phoebe","Heckerling	 Amy",65,No
1977,91,Rabid,Horror,"Moore	 Frank","Chambers	 Marilyn","Cronenberg	 David",34,No
1989,90,"Vampire Raiders	 Ninja Queen",Action,"Peterson	 Chris","Chan	 Agnes","Lambert	 Bruce",15,No
1943,99,Destroyer,Action,"Robinson	 Edward G.","Chapman	 Marguerite","Seiter	 William A.",87,No
1992,99,Party Girl,Comedy,"Taylor	 Robert","Charisse	 Cyd","Ray	 Nicholas",85,No
1989,113,Twin Peaks,Mystery,"MacLachlan	 Kyle","Chen	 Joan","Lynch	 David",86,No
1987,103,Moonstruck,Comedy,"Cage	 Nicholas",Cher,"Jewison	 Norman",6,Yes
1987,119,"Witches of Eastwick	 The",Comedy,"Nicholson	 Jack",Cher,"Miller	 George",8,No
1979,128,Moonraker,Action,"Moore	 Roger","Chiles	 Lois","Gilbert	 Lewis",32,No
1984,106,Beat Street,Drama,"Davis	 Guy","Chong	 Rae Dawn","Lathan	 Stan",72,No
1989,90,Never on Tuesday,Drama,"Lauer	 Andrew","Christian	 Claudia","Rifkin	 Adam",77,No
1975,109,Shampoo,Comedy,"Beatty	 Warren","Christie	 Julie","Ashby	 Hal",69,Yes
1985,111,Power,Drama,"Hackman	 Gene","Christie	 Julie","Lumet	 Sidney",43,No
1965,122,Darling,Drama,"Harvey	 Laurence","Christie	 Julie","Schlesinger	 John",44,Yes
1963,120,"Ugly American	 The",Drama,"Brando	 Marlon","Church	 Sandra","Englund	 George",63,No
1931,68,Ambassador Bill,Comedy,"Rogers	 Will","Churchill	 Marguerite","Taylor	 Sam",66,No
1931,110,"Big Trail	 The",Western,"Wayne	 John","Churchill	 Marguerite","Walsh	 Raoul",22,No
1967,111,Hombre,Western,"Newman	 Paul","Cilento	 Diane","Ritt	 Martin",50,No
1968,103,Coogan's Bluff,Action,"Eastwood	 Clint","Clark	 Susan","Siegel	 Don",57,No
1989,91,Penn & Teller Get Killed,Comedy,"Penn	 Jillette","Clarke	 Caitlin","Penn	 Arthur",12,No
1987,118,Shy People,Drama,"Philbin	 John","Clayburgh	 Jill","Konchalovsky	 Andrei",7,No
1980,91,It's My Turn,Comedy,"Douglas	 Michael","Clayburgh	 Jill","Weill	 Claudia",0,No
1988,119,Dangerous Liaisons,Drama,"Malkovich	 John","Close	 Glenn","Frears	 Stephen",77,No
1990,111,Reversal of Fortune,Drama,"Irons	 Jeremy","Close	 Glenn","Schroeder	 Barbet",73,Yes
1991,119,Meeting Venus,Comedy,"Arestrup	 Niels","Close	 Glenn","Szabó	 István",74,No
1987,101,Like Father Like Son,Comedy,"Cameron	 Kirk","Colin	 Margaret","Daniel	 Rod",20,No
1948,81,Rope,Drama,"Stewart	 James","Collier	 Constance","Hitchcock	 Alfred",39,No
1962,91,Road to Hong Kong,Comedy,"Hope	 Bob","Collins	 Joan","Panama	 Norman",37,No
1989,108,Shirley Valentine,Comedy,"Conti	 Tom","Collins	 Pauline","Gilbert	 Lewis",51,No
1992,135,City of Joy,Drama,"Swayze	 Patrick","Collins	 Pauline","Joffe	 Roland",87,No
1966,99,"Appaloosa	 The",Western,"Brando	 Marlon","Comer	 Anjanette","Furie	 Sidney J.",15,No
1986,88,Seven Minutes in Heaven,Comedy,"Thames	 Byron","Connelly	 Jennifer","Feferman	 Linda",49,No
